1;"Santori (Sardine): ""Ora legge elettorale proporzionale con le preferenze e il Pd non rinvii la battaglia sui diritti"" ";NONE
2;"Regionali 2020, Imperia: mercoledì 9 settembre le ""6000 Sardine Ponentine"" in treno a sostegno dei giovani. ""Nessuno ha il coraggio di investire davvero su di loro"" ";NONE
3;Palermo, Sardine in piazza per il No al taglio dei parlamentari ;NONE
4;Sanremo: il gruppo 6000 Sardine Ponentine vorrebbe realizzare una scritta gigante per promuovere l'accoglienza ;NONE
5;Elezioni regionali. Mercoledì le '6000 Sardine Ponentine' in treno da Diano Marina a Ventimiglia per “Young Lives Matter” ;NONE
6;"L'arroganza delle Sardine: ""Il Pd ha vinto le regionali ma il merito è nostro"" ";NONE
7;"Omicidio Don Roberto, Mattia Santori: ""Non mi permetterei mai di commentare un accaduto di questo tipo"" ";NONE
8;Santori si toglie dalla naftalina (e aizza la gente contro il centrodestra) ;NONE
9;Referendum, dalle Sardine a Orfini al berlusconiano Malan: il No si ritrova in piazza (con poca gente) ;NONE
10;"La Sardina Mattia Santori: ""Il grande fraintendimento è aver pensato che esistono le Sardine come ente corporativo della buona politica, invece si tratta di sardinitudine"" ";NONE
11;"""I toscani sono intelligenti..."". Sardine velenose sulla Ceccardi ";NONE
12;La replica silenziosa delle Sardine al comizio di Salvini a Valenza: “Era tempo di tornare in piazza” ;NONE
13;"Referendum taglio parlamentari, la Sardina Mattia Santori: ""Puzza di ipocrisia e populismo, voto no perché tagliano le poltrone col culo degli altri"" ";NONE
14;Referendum, fronte del no in piazza a Roma il 12 settembre ‘guidato’ dalle Sardine ;NONE
15;"Regionali, Nichi Vendola torna in piazza e lo fa con le Sardine: ""La Puglia non si Fitta"" ";NONE
16;Seimila sardine attese in Piazza del Popolo a Faenza ;NONE
17;"Il 'treno' delle sardine: ""Dialogo con Sansa per far sentire la voce dei giovani"" ";NONE
18;Sardine, piazza semi-vuota a Roma: la manifestazione per il No al referendum è un flop ;NONE
19;Le Sardine scendono in piazza a Faenza: appuntamento domenica 13 settembre ;NONE
20;"Da Diano a Ventimiglia: ""In treno con le Sardine Ponentine"". ""Vogliamo far sentire la voce dei giovani"" / Foto e video ";NONE
21;il 13 settembre le Sardine in piazza a Faenza ;NONE
22;Il taglio indebolisce gli elettori, non gli eletti. Perché noi Sardine siamo per il No ;NONE
23;"""Nessuno è straniero"", le Sardine Ponentine realizzano una scritta sulla passeggiata del Sud Est a Sanremo ";NONE
24;Sardine, «Mai più fascismo». Il 18 settembre in piazza Unità tutti in silenzio, suonerà solo un violino ;NONE
25;Dopo il referendum, i partigiani tornano a riprendersi le piazze a difesa della Costituzione ;NONE
26;Intervista ad alcuni esponenti del movimento 6000 Sardine ;NONE
27;"È stata oscurata la pagina Facebook delle ""6000 sardine"" ";NONE
28;Bologna 2 agosto, il ritorno delle Sardine: 10 stazioni della memoria ;NONE
29;Bari, le Sardine scendono in piazza: 'In questo territorio non c'è spazio per le destre sovraniste' ;NONE
30;"Le ""6000 sardine"" ora sono un marchio registrato in Ue ";NONE
31;FAENZA: Le sardine tornano in piazza per parlare di elezioni e referendum ;NONE
32;"Il gennaio ""caldo"" delle Sardine che si trasformano in movimento ";NONE
33;Movimento docenti, studenti disabili “dimenticati” ;NONE
34;“6000 piantine” in Piazza Maggiore per finanziare la cultura estiva a Bologna, l'installazione è delle Sardine ;NONE
35;"Razzismo, 6000 Sardine a Roma per dire ""no a violenze e abusi potere"" ";NONE
36;"""Così sono nate le 6000 sardine"": storia di Giulia, l'aretina che ha creato con tre amici il movimento anti Salvini ";NONE
37;"Le Sardine Ponentine cambiano il nome in ""6000 Sardine Ponentine"" ";NONE
38;#Sardineontour a Matera, accolti dal gruppo “6000 Sardine Basilicata” ;NONE
39;"Referendum, Sardine si schierano per il no: ""Non possiamo tacere"" ";NONE
40;'6000 Sardine Grosseto' flash mob ad Orbetello ;NONE
41;Il movimento 6000 Sardine arriva anche a Rieti ;NONE
42;"""Che nome dare all'evento?"". 6000 sardine: ""Le origini"" ";NONE
43;La lettera delle 6000 Sardine a Giuseppe Conte ;NONE
44;Tornano le sardine, venerdì sera scendono in piazza a Fondi ;NONE
45;6000 Sardine E.T.S.: la polemica sulla società dei fondatori delle Sardine ;NONE
46;"Le Sardine dopo la prima frattura: ""Con le foto si può sbagliare ma il mare è di tutti"" ";NONE
47;"Il ""movimento delle sardine"" anche in Spagna: nato il gruppo ""6000 Sardine Madrid"" ";NONE
48;Santori di 6000 Sardine: 'Le pance sono piene di slogan, noi puntiamo ai cervelli' ;NONE
49;L’appello di 6000 Sardine Rimini. Rispettare le norme per riuscire a ripartire ;NONE
50;Ventimiglia, 6000 Sardine Ponentine e Rete Sanremo Solidale invitano associazioni a flash mob contro chiusura di Campo Roja ;NONE
51;Regionali, Jasmine Cristallo (sardine): “Sì alleanza Pd-M5s ;NONE
52;VIDEO | Arriva l'inno delle Sardine: “6000 (siamo una voce)” - DIRE.it ;NONE
53;Anche Asti ha le sue “6000 Sardine”, in piazza il 14 dicembre con un flash mob ;NONE
54;6000 Sardine al mercato regalano mascherine ;NONE
55;Lettera aperta delle 6000 Sardine Cuneo a Marco Rossi ;NONE
56;Le Sardine tornano in piazza a Genova: “Pronti a fare la nostra parte in vista delle regionali” ;NONE
57;Le Sardine tornano a nuotare ;NONE
58;6000 sardine contro Salvini, cos'è il nuovo movimento di Bologna ;NONE
59;Le Sardine arrivano a Stella: “Ascoltare le esigenze dei cittadini e rivolvere le problematiche dei territori” ;NONE
60;6000 Sardine Umbria tenta la mobilitazione a Terni ma fa flop. Puntiamo sulla manifestazione del 23 ;NONE
61;"Mattia Santori, la biografia delle sardine: ""Chi è davvero, sognatore e vulcano d'idee"". Travolto dagli insulti ";NONE
62;"Le ""6000 sardine"" diventano marchio registrato ";NONE
63;Sardine contro Salvini, da Bologna a New York. I 54 gruppi nati in pochi giorni ;NONE
64;«Occhi stanchi, responsabilità enorme, vita vagabonda: un trascinatore», l'identikit del leader delle Sardine Mattia Santori ;NONE
65;Le sardine pubblicano il loro Manifesto e si prendono sempre più piazze ;NONE
66;Lorenzo Donnoli delle 6000 sardine aggredito a Bologna: «Fr**io di merda» ;NONE
67;"""Non siamo nessuno, ma ci diverte lanciare la monetina"". Parla Santori, leader delle Sardine ";NONE
68;Regionali 2020, le Sardine: “La gente si è svegliata: è la nostra vittoria. Ci vediamo a Scampia” ;NONE
69;"Coronavirus, la denuncia delle Sardine: ""Su Telegram si organizzano per andare in piazza il 4 maggio"" ";NONE
70;Covid-19, ‘6000 Sardine italiane:”Io resto a casa e faccio 6000 cose” ;NONE
71;Sabato 30 novembre le 6000 Sardine in piazza Santa Teresa a Cosenza ;NONE
72;“6000 Sardine Marcianise”, nasce gruppo anche in città #MarcianiseNonSiLega ;NONE
73;"A Bologna nasce il manifesto delle sardine: ""Cari populisti, ci avete risvegliato"" ";NONE
74;6000 Sardine in piazza per George Floyd FOTO E VIDEO ;NONE
75;"Sanremo, 6000 Sardine Ponentine organizza ""20 shoes against racism"" a sostegno delle politiche anti-razzismo ";NONE
76;6000 sardine anche a Parma ;NONE
77;Le Sardine tornano in piazza a Genova e lanciano un messaggio alla politica: “Basta divisioni” ;NONE
78;Per le Sardine Aldo Moro è stato ucciso dalla mafia? Il tweet galeotto fa il giro del web ;NONE
79;"Santori: ""Regionali, centrosinistra svilito se parla solo di nomi. Le Sardine con i candidati che fanno buone proposte"" ";NONE
80;Sardine ad Amici, Santori, Cristallo e Donnoli da Maria De Filippi: «Basta paura! Pratichiamo la bellezza» – Il video ;NONE
81;L’annuncio delle Sardine: “Adesso tocca a noi, Salvini ha suonato un campanello di troppo” ;NONE
82;Sardine, fake news anti polizia. Ecco la verità sul video del migrante a terra ;NONE
83;Il 2 giugno prende il via “Sardine in Bicicletta…pedalando con la Costituzione” ;NONE
84;Oscurata la pagina delle 6000sardine: ad ora sconosciuto il motivo ;NONE
85;Le Sardine vivono anche ai tempi di Coronavirus: su piattaforma ”Immagina” 6000 sardine scrivono ”Lettera dell'Europa al mondo” ;NONE
86;"Santori alle Sardine: ""Prendiamoci una pausa. Non diventiamo una massa di frustrati"" ";NONE
87;Sardine pronte per il mare aperto. Manifestazioni compatte in 25 città: in piazza da Berlino a New York ;NONE
88;Elezioni regionali a luglio, le Sardine: “Il voto in autunno sarebbe più sicuro” ;NONE
89;"""Bacioni da Torino"", il flash mob delle Sardine al Parco del Valentino ";NONE
90;"Sardine: ""Maggioritario dannoso, minoranze vanno rispettate"" ";NONE
91;Cinque post per raccontare il movimento delle sardine ;NONE
92;Caro Michele abbiamo bisogno di buoni maestri ;NONE
93;"Oscurata la pagina 6000 sardine. E anche a Latina parte la catena della ""solidarietà"" ";NONE
94;Le Sardine migliori amiche del governo: “Mascherine tricolori: una vergogna!” ;NONE
95;Sardine in piazza a Roma ;NONE
96;Sardine, battaglia per la scissione romana. La base si dissocia: “Rimossi i moderatori, Ogongo uomo solo al comando” ;NONE
97;“La Ciociaria non si Lega”: domenica la manifestazione delle “6000 Sardine” ;NONE
98;Movimento delle sardine, il calendario degli eventi e la mappa delle prossime manifestazioni ;NONE
99;"La Sardina pentita si scaglia contro il leader: ""Tra liti e minacce decide soltanto Santori"" ";NONE
100;Sardine, la mia piazza liberata dall'odio ;NONE
101;IL CASTORO | Intervista ad Andrea Gareffa, esponente delle Sardine ;NONE
102;Bologna, ecco chi c'è dietro il movimento delle sardine - ildigitale.it ;NONE
103;Le sardine ora puntano le periferie. Bonaccini: con loro stessi valori ;NONE
104;La manifestazione delle Sardine a Piazza Santi Apostoli ;NONE
105;La moltiplicazione dei pesci… ;NONE
106;"Mattia Santori con Benetton e Toscani, sospetto sulla foto del disastro: ""imboscata"", com'è andata veramente ";NONE
107;"FOTO | Piazza Maggiore strapiena di 'sardine' anti Salvini: ""Bologna non abbocca"" - DIRE.it ";NONE
108;Chi c’è dietro il movimento delle “Sardine”? ;NONE
109;Chi paga il palco delle Sardine a piazza Santi Apostoli? ;NONE
110;"Le ""Sardine"" sono sbarcate in Veneto | Oggi Treviso | News | Il quotidiano con le notizie di Treviso e Provincia ";NONE
111;Chi sono le Sardine, il movimento dei flash mob contro Salvini ;NONE
112;"""Sardina amplifica sardina"" con la ""Bella ciao"" di Tosca ";NONE
113;"Sardine, lettera a Repubblica dei quattro fondatori: ""Noi e la libertà di non fare un partito"" ";NONE
114;Sardine, manifesto valoriale e pausa di riflessione: “E’ uno spartiacque, non la fine” ;NONE
115;Mattia Santori leader delle Sardine “Matteo Salvini scenderà nei sondaggi grazie alla nostra discesa in campo” ;NONE
116;I 10 momenti più importanti del 2019 ;NONE
117;Sardine a Roma in Piazza Santi Apostoli il 16 febbraio ;NONE
118;Sondaggi Emilia Romagna, Bonaccini in testa ;NONE
